DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Abundance
COLOR	#cc0099
DATA
uncultured marine bacterium - 56765	559
uncultured bacterium - 77133	2100
uncultured marine eukaryote - 203449	222
Candidatus Pelagibacter sp. RS39 - 1977864	3
metagenome - 256318	226
uncultured Chloroflexota bacterium - 166587	96
uncultured marine group II/III euryarchaeote KM3_133_A04 - 1457863	6
uncultured bacterium AD12-A11 - 526644	2
Diplonema papillatum - 91374	2
uncultured deep-sea bacterium - 759664	27
uncultured Deferribacteres bacterium - 213663	3
Alphaproteobacteria bacterium RIFCSPHIGHO2_01_FULL_41_14 - 1797217	1
microbial mat metagenome - 527640	1
uncultured organism - 155900	69
Salinicoccus halodurans - 407035	2
uncultured eukaryote - 100272	418
uncultured Gammaproteobacteria bacterium - 86473	54
Pseudoalteromonas byunsanensis - 327939	1
uncultured marine microorganism - 415540	50
uncultured kinetoplastid - 204529	2
uncultured archaeon - 115547	206
Acidihalobacter prosperus - 160660	13
uncultured Acidobacteriota bacterium - 171953	23
uncultured Tistrella sp. - 499814	1
uncultured Actinomycetes bacterium - 152507	5
Zunongwangia profunda SM-A87 - 655815	9
uncultured Marinobacter sp. - 187379	4
uncultured Actinomycetales bacterium - 239730	1
Microbacterium saperdae - 69368	2
uncultured euryarchaeote - 114243	2
hydrothermal vent metagenome - 652676	46
marine metagenome - 408172	357
Gimesia maris DSM 8797 - 344747	3
Salinicoccus roseus - 45670	1
uncultured soil bacterium - 164851	3
uncultured Alteromonas sp. - 179113	1
uncultured Planctomycetota bacterium - 120965	37
uncultured Bacteroidaceae bacterium - 163362	1
uncultured Verrucomicrobiales bacterium - 100234	6
uncultured compost bacterium - 155098	1
Halomonas sp. 1513 - 1883416	1
uncultured bacterium AD243-C9 - 526650	5
Homo sapiens - 9606	2
Saccharomyces cerevisiae - 4932	3
uncultured Lentisphaerota bacterium - 278095	4
Sagitta sp. DP-2006 - 1549806	1
uncultured Gemmatimonadota bacterium - 203437	2
Acidobacteria bacterium Mor1 - 1660251	4
Methylobacterium sp. Leaf361 - 1736352	1
uncultured bacterium SAT52-B4 - 526693	5
Croceicoccus naphthovorans - 1348774	1
Vannella sp. LITHOV - 1215650	1
Rodentibacter sp. Ppn85 - 1908525	1
uncultured bacterium AD12-C5 - 526645	1
uncultured marine cyanobacterium - 215611	14
Pleurotus ostreatus PC15 - 1137138	2
Caulobacter mirabilis - 69666	1
uncultured Aestuariibacter sp. - 932002	2
Fidelibacterota bacterium SCGC AAA003-E22 - 699266	13
uncultured marine alveolate - 329652	4
uncultured Ostreococcus - 257762	2
Idiomarina piscisalsi - 1096243	2
Salmo salar - 8030	1
uncultured Pseudomonadota bacterium - 153809	4
Pochonia chlamydosporia - 280754	1
Sphingobium sp. AP50 - 1884369	2
